,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@C,event:dismissal@D,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
8,A11065,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,148870800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
12,A11475,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
16,A11587,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147661200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
20,A11901,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
33,A1280,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,169002000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
37,A131,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,16.6,71.5,36115200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
42,A13412,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,135824400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
47,A13648,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142131600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
51,A14001,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,143600400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
52,A14156,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142822800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
57,A14679,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,135219600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
65,A15991,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141613200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
71,A16698,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141440400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
75,A17354,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140662800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
77,A17393,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140058000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
82,A18052,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,138848400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
84,A18299,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,74.0,140403600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
86,A18455,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140749200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
90,A18693,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,136861200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
112,A21010,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137638800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
115,A21335,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,44.0,104720400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
116,A21555,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137898000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
118,A21689,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137206800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
119,A21847,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,138502800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
123,A22966,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,127094400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
130,A23976,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,130809600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
131,A24117,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,127008000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
135,A24365,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,122256000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
139,A25003,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,76460400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
151,A26735,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,18.6,74.0,121305600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
162,A28084,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,44755200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
165,A28154,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,45187200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
169,A28903,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,114742800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
175,A30119,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,113360400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
182,A31911,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,45622800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
183,A32164,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,111027600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
185,A32672,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,44.0,108003600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
188,A33297,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,108781200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
189,A33533,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,103424400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
192,A33922,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,106880400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
198,A34398,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,104547600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
199,A34487,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,106621200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
201,A34969,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,105584400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
205,A35784,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,46.0,84762000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
210,A36490,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,101696400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
213,A36811,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,94176000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
214,A37002,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,74.0,100141200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
219,A37537,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,0.0,74.0,98582400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
223,A38793,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,77.5,89769600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
228,A40854,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,46.0,86745600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
230,A41227,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,77.5,78109200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
231,A41435,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,46.0,84589200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
232,A41442,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,46.0,84157200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
239,A43079,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.5,77.5,79664400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
253,A5889,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,11.0,42.5,160617600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
254,A5931,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,159148800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
255,A6040,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,161049600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
260,A6670,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,159667200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
263,A6697,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,159148800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
266,A6833,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,157420800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
269,A7030,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,11.0,42.5,158976000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
275,A7988,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,157248000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
276,A805,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,11.0,71.5,169606800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
285,A9232,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,151804800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
293,A9845,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,151977600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
313,C17405,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,0.0,68.77,228013200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
321,C18160,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,80,0.0,0,11.0,286.5,178160400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
324,C18212,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,0.0,1310.0,201834000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
325,C18263,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,158,0.0,0,0.0,143.0,170298000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
327,C18440,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,145,0.0,6,0.0,275.0,182217600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
334,C18594,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,193,0.0,0,0.0,1433.5,177382800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
335,C18615,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,172,0.0,5,0.0,137.5,168742800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
336,C18621,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,116,0.0,0,11.0,1032.5,178160400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
343,C18793,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,23,0.0,0,0.0,716.5,171334800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
353,C19046,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,116,0.0,0,0.0,1032.5,164163600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
356,C19250,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,23,0.0,0,0.0,716.5,160099200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
357,C19370,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,80,0.0,0,0.0,297.0,146019600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
358,C19446,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,145,0.0,6,0.0,285.0,142390800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
360,C19592,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,149,0.0,3,0.0,74.0,128304000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
366,C20411,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,146,0.0,6,0.0,299.5,76294800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
369,C20653,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,180,0.0,0,0.0,77.5,83120400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
372,C21277,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,23,0.0,0,0.0,779.5,65836800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
376,C21641,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,47955600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
377,C21661,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46400400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
379,C21663,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46400400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
380,C21664,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46400400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
381,C21665,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46314000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
382,C21666,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46400400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
383,C21667,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46400400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
384,C21669,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46314000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
385,C21732,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,20,0.0,0,0.0,312.0,46054800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
416,N100307,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,173667600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
422,N100780,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,171507600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
429,N102113,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,170643600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
441,N22795,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,6.46,62.59,376012800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
511,N41716,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,10.0,39.0,307670400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
514,N42948,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,10.0,65.5,294368400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
533,N52608,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,68.77,240454800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
